1084
-0.218287 3.978253 1.038817  0.000552 4.022136 1.016413  -0.194205 3.959343 0.551139
0.000552 4.022136 1.016413  0.000552 4.021425 0.509669  -0.194205 3.959343 0.551139
0.000552 4.021425 0.509669  0.000552 3.917003 0.016051  -0.194205 3.959343 0.551139
-0.194205 3.959343 0.551139  0.000552 3.917003 0.016051  -0.271413 3.855298 0.027048
0.000552 3.917003 0.016051  -0.261912 3.631801 -0.488249  -0.271413 3.855298 0.027048
-0.271413 3.855298 0.027048  -0.261912 3.631801 -0.488249  -0.481332 3.501949 -0.395424
-0.261912 3.631801 -0.488249  -0.245134 3.505981 -0.937073  -0.481332 3.501949 -0.395424
-0.481332 3.501949 -0.395424  -0.245134 3.505981 -0.937073  -0.729837 3.153152 -0.533055
-0.729837 3.153152 -0.533055  -0.245134 3.505981 -0.937073  -0.730069 3.080968 -0.987884
-0.245134 3.505981 -0.937073  -0.248932 3.340732 -1.479506  -0.730069 3.080968 -0.987884
-0.730069 3.080968 -0.987884  -0.248932 3.340732 -1.479506  -0.651540 2.766382 -1.442075
0.000552 3.917003 0.016051  0.000552 3.669493 -0.519806  -0.261912 3.631801 -0.488249
-0.261912 3.631801 -0.488249  0.000552 3.669493 -0.519806  -0.245134 3.505981 -0.937073
0.000552 3.669493 -0.519806  0.000552 3.586591 -0.979800  -0.245134 3.505981 -0.937073
-0.245134 3.505981 -0.937073  0.000552 3.586591 -0.979800  -0.248932 3.340732 -1.479506
0.000552 3.420278 -1.478247  -0.248932 3.340732 -1.479506  0.000552 3.586591 -0.979800
0.304554 -0.001132 -0.655089  0.465376 -0.001052 -0.806569  0.293763 -0.001157 -0.520017
0.726384 -0.001092 -0.741893  0.820443 -0.001118 -0.550778  0.465376 -0.001052 -0.806569
0.465376 -0.001052 -0.806569  0.820443 -0.001118 -0.550778  0.293763 -0.001157 -0.520017
0.820443 -0.001118 -0.550778  0.599972 -0.001116 -0.216984  0.293763 -0.001157 -0.520017
0.293763 -0.001157 -0.520017  0.599972 -0.001116 -0.216984  0.386567 -0.001121 -0.316145
0.599972 -0.001116 -0.216984  0.820443 -0.001118 -0.550778  0.762092 -0.001130 -0.309224
0.702144 0.166201 -0.779452  0.485927 0.161306 -0.844175  0.476969 0.278369 -0.873680
0.454034 0.896945 -0.839426  0.748973 0.881122 -0.751650  0.476969 0.278369 -0.873680
0.748973 0.881122 -0.751650  0.711111 0.278369 -0.801841  0.476969 0.278369 -0.873680
0.476969 0.278369 -0.873680  0.711111 0.278369 -0.801841  0.702144 0.166201 -0.779452
0.711111 0.278369 -0.801841  0.773599 0.164136 -0.584191  0.702144 0.166201 -0.779452
0.454034 0.896945 -0.839426  0.465376 1.109487 -0.778743  0.748973 0.881122 -0.751650
0.465376 1.109487 -0.778743  0.726384 1.111757 -0.712118  0.748973 0.881122 -0.751650
0.726384 1.111757 -0.712118  0.863254 0.860362 -0.486870  0.748973 0.881122 -0.751650
0.748973 0.881122 -0.751650  0.863254 0.860362 -0.486870  0.711111 0.278369 -0.801841
0.863254 0.860362 -0.486870  0.792693 0.278369 -0.588608  0.711111 0.278369 -0.801841
0.711111 0.278369 -0.801841  0.792693 0.278369 -0.588608  0.773599 0.164136 -0.584191
0.792693 0.278369 -0.588608  0.717744 0.163116 -0.333477  0.773599 0.164136 -0.584191
0.465376 1.109487 -0.778743  0.465376 1.336458 -0.830108  0.726384 1.111757 -0.712118
0.789323 0.818167 -0.241709  0.739817 0.278369 -0.328610  0.792693 0.278369 -0.588608
0.792693 0.278369 -0.588608  0.739817 0.278369 -0.328610  0.717744 0.163116 -0.333477
0.739817 0.278369 -0.328610  0.594100 0.164270 -0.307590  0.717744 0.163116 -0.333477
0.594100 0.164270 -0.307590  0.599972 -0.001116 -0.216984  0.717744 0.163116 -0.333477
0.599972 -0.001116 -0.216984  0.762092 -0.001130 -0.309224  0.717744 0.163116 -0.333477
0.717744 0.163116 -0.333477  0.762092 -0.001130 -0.309224  0.773599 0.164136 -0.584191
0.762092 -0.001130 -0.309224  0.820443 -0.001118 -0.550778  0.773599 0.164136 -0.584191
0.773599 0.164136 -0.584191  0.820443 -0.001118 -0.550778  0.702144 0.166201 -0.779452
0.820443 -0.001118 -0.550778  0.726384 -0.001092 -0.741893  0.702144 0.166201 -0.779452
0.702144 0.166201 -0.779452  0.726384 -0.001092 -0.741893  0.485927 0.161306 -0.844175
0.726384 -0.001092 -0.741893  0.465376 -0.001052 -0.806569  0.485927 0.161306 -0.844175
0.632878 1.871965 -1.176920  0.758655 2.005441 -1.104468  0.726384 1.347436 -0.756519
0.758655 2.005441 -1.104468  0.830212 1.381986 -0.480015  0.726384 1.347436 -0.756519
0.726384 1.347436 -0.756519  0.830212 1.381986 -0.480015  0.830212 1.111164 -0.456060
0.830212 1.381986 -0.480015  0.762092 1.109618 -0.213012  0.830212 1.111164 -0.456060
0.830212 1.111164 -0.456060  0.762092 1.109618 -0.213012  0.789323 0.818167 -0.241709
0.762092 1.109618 -0.213012  0.606127 0.797887 -0.185397  0.789323 0.818167 -0.241709
0.789323 0.818167 -0.241709  0.606127 0.797887 -0.185397  0.739817 0.278369 -0.328610
0.606127 0.797887 -0.185397  0.596837 0.278369 -0.287090  0.739817 0.278369 -0.328610
0.739817 0.278369 -0.328610  0.596837 0.278369 -0.287090  0.594100 0.164270 -0.307590
0.830212 1.381986 -0.480015  0.748512 1.422004 -0.189063  0.762092 1.109618 -0.213012
0.606127 0.797887 -0.185397  0.762092 1.109618 -0.213012  0.598747 1.104002 -0.155135
0.762092 1.109618 -0.213012  0.748512 1.422004 -0.189063  0.598747 1.104002 -0.155135
0.598747 1.104002 -0.155135  0.748512 1.422004 -0.189063  0.681552 1.448673 -0.115665
0.681552 1.448673 -0.115665  0.748512 1.422004 -0.189063  0.851198 2.194196 -0.068007
0.851198 2.194196 -0.068007  0.748512 1.422004 -0.189063  0.907125 2.372727 -0.223410
0.748512 1.422004 -0.189063  0.830212 1.381986 -0.480015  0.907125 2.372727 -0.223410
0.907125 2.372727 -0.223410  0.830212 1.381986 -0.480015  0.930853 2.170449 -0.713022
0.830212 1.381986 -0.480015  0.758655 2.005441 -1.104468  0.930853 2.170449 -0.713022
0.930853 2.170449 -0.713022  0.758655 2.005441 -1.104468  0.652644 2.766382 -1.442075
0.652644 2.766382 -1.442075  0.758655 2.005441 -1.104468  0.587556 2.019324 -1.400523
0.758655 2.005441 -1.104468  0.632878 1.871965 -1.176920  0.587556 2.019324 -1.400523
0.587556 2.019324 -1.400523  0.632878 1.871965 -1.176920  0.465376 1.336458 -0.830108
0.632878 1.871965 -1.176920  0.726384 1.347436 -0.756519  0.465376 1.336458 -0.830108
0.465376 1.336458 -0.830108  0.726384 1.347436 -0.756519  0.726384 1.111757 -0.712118
0.726384 1.347436 -0.756519  0.830212 1.111164 -0.456060  0.726384 1.111757 -0.712118
0.726384 1.111757 -0.712118  0.830212 1.111164 -0.456060  0.863254 0.860362 -0.486870
0.830212 1.111164 -0.456060  0.789323 0.818167 -0.241709  0.863254 0.860362 -0.486870
0.863254 0.860362 -0.486870  0.789323 0.818167 -0.241709  0.792693 0.278369 -0.588608
0.652644 2.766382 -1.442075  0.731174 3.080968 -0.987884  0.930853 2.170449 -0.713022
0.930853 2.170449 -0.713022  0.731174 3.080968 -0.987884  0.907125 2.372727 -0.223410
0.731174 3.080968 -0.987884  0.730942 3.153152 -0.533055  0.907125 2.372727 -0.223410
0.730942 3.153152 -0.533055  0.747778 2.868587 -0.158639  0.907125 2.372727 -0.223410
0.907125 2.372727 -0.223410  0.747778 2.868587 -0.158639  0.851198 2.194196 -0.068007
0.399894 0.278369 -0.379563  0.365382 0.832605 -0.293033  0.317490 0.278369 -0.536808
0.412006 0.158628 -0.389561  0.399894 0.278369 -0.379563  0.332382 0.169502 -0.527354
0.399894 0.278369 -0.379563  0.317490 0.278369 -0.536808  0.332382 0.169502 -0.527354
0.317490 0.278369 -0.536808  0.326828 0.278369 -0.736194  0.332382 0.169502 -0.527354
0.332382 0.169502 -0.527354  0.326828 0.278369 -0.736194  0.341606 0.163065 -0.717076
0.563664 1.752442 -0.130483  0.424196 1.405515 -0.264066  0.681552 1.448673 -0.115665
0.424196 1.405515 -0.264066  0.386923 1.111480 -0.261462  0.681552 1.448673 -0.115665
0.681552 1.448673 -0.115665  0.386923 1.111480 -0.261462  0.598747 1.104002 -0.155135
0.386923 1.111480 -0.261462  0.365382 0.832605 -0.293033  0.598747 1.104002 -0.155135
0.598747 1.104002 -0.155135  0.365382 0.832605 -0.293033  0.606127 0.797887 -0.185397
0.606127 0.797887 -0.185397  0.365382 0.832605 -0.293033  0.596837 0.278369 -0.287090
0.365382 0.832605 -0.293033  0.399894 0.278369 -0.379563  0.596837 0.278369 -0.287090
0.596837 0.278369 -0.287090  0.399894 0.278369 -0.379563  0.594100 0.164270 -0.307590
0.399894 0.278369 -0.379563  0.412006 0.158628 -0.389561  0.594100 0.164270 -0.307590
0.594100 0.164270 -0.307590  0.412006 0.158628 -0.389561  0.386567 -0.001121 -0.316145
0.386567 -0.001121 -0.316145  0.412006 0.158628 -0.389561  0.293763 -0.001157 -0.520017
0.412006 0.158628 -0.389561  0.332382 0.169502 -0.527354  0.293763 -0.001157 -0.520017
0.293763 -0.001157 -0.520017  0.332382 0.169502 -0.527354  0.304554 -0.001132 -0.655089
0.332382 0.169502 -0.527354  0.341606 0.163065 -0.717076  0.304554 -0.001132 -0.655089
0.304554 -0.001132 -0.655089  0.341606 0.163065 -0.717076  0.465376 -0.001052 -0.806569
0.465376 -0.001052 -0.806569  0.341606 0.163065 -0.717076  0.485927 0.161306 -0.844175
0.485927 0.161306 -0.844175  0.341606 0.163065 -0.717076  0.476969 0.278369 -0.873680
0.341606 0.163065 -0.717076  0.326828 0.278369 -0.736194  0.476969 0.278369 -0.873680
0.386567 -0.001121 -0.316145  0.599972 -0.001116 -0.216984  0.594100 0.164270 -0.307590
0.563664 1.752442 -0.130483  0.305570 1.772202 -0.492589  0.424196 1.405515 -0.264066
0.851198 2.194196 -0.068007  0.563664 1.752442 -0.130483  0.681552 1.448673 -0.115665
0.476969 0.278369 -0.873680  0.326828 0.278369 -0.736194  0.272305 0.872492 -0.674909
0.326828 0.278369 -0.736194  0.317490 0.278369 -0.536808  0.272305 0.872492 -0.674909
0.272305 0.872492 -0.674909  0.317490 0.278369 -0.536808  0.260110 0.851354 -0.425506
0.317490 0.278369 -0.536808  0.365382 0.832605 -0.293033  0.260110 0.851354 -0.425506
0.365382 0.832605 -0.293033  0.386923 1.111480 -0.261462  0.260110 0.851354 -0.425506
0.260110 0.851354 -0.425506  0.386923 1.111480 -0.261462  0.293763 1.107117 -0.398514
0.386923 1.111480 -0.261462  0.424196 1.405515 -0.264066  0.293763 1.107117 -0.398514
0.293763 1.107117 -0.398514  0.424196 1.405515 -0.264066  0.293763 1.398665 -0.427864
0.424196 1.405515 -0.264066  0.305570 1.772202 -0.492589  0.293763 1.398665 -0.427864
0.305570 1.772202 -0.492589  0.371284 1.816117 -0.898248  0.293763 1.398665 -0.427864
0.293763 1.398665 -0.427864  0.371284 1.816117 -0.898248  0.304554 1.357214 -0.676957
0.371284 1.816117 -0.898248  0.587556 2.019324 -1.400523  0.304554 1.357214 -0.676957
0.587556 2.019324 -1.400523  0.465376 1.336458 -0.830108  0.304554 1.357214 -0.676957
0.465376 1.336458 -0.830108  0.465376 1.109487 -0.778743  0.304554 1.357214 -0.676957
0.304554 1.357214 -0.676957  0.465376 1.109487 -0.778743  0.304554 1.111593 -0.638426
